,id,trackName,trackPopularity,trackDurationMs,trackExplicit,albumName,albumType,albumReleaseDate,artistNames,artistLinks,artistID,artistGenres,artistPopularity,spotifyURL,albumCoverURL,inLibrary,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,gene
20,0rGWIsHWtbTiLYCP1Xo6Hn,Our Love,29 (0-100),179866 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/0rGWIsHWtbTiLYCP1Xo6Hn,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.662,0.784,7,-7.236,1,0.0352,0.00957,0.0987,0.188,0.681,137.997,audio_features,spotify:track:0rGWIsHWtbTiLYCP1Xo6Hn,https://api.spotify.com/v1/tracks/0rGWIsHWtbTiLYCP1Xo6Hn,https://api.spotify.com/v1/audio-analysis/0rGWIsHWtbTiLYCP1Xo6Hn,179867,4,HPFE
21,2GHmJzMiyug5WkoDDFIW0p,"Fantasietta on a Theme From ""Photograph""",38 (0-100),64760 ms,False,Pictures of Mountains,album,2021-01-29,"('Cody Fry',)",['https://open.spotify.com/artist/7dOCnyDR2oEa1hQlvTXvdT'],7dOCnyDR2oEa1hQlvTXvdT,['indiecoustica'],64 (0-100),https://open.spotify.com/track/2GHmJzMiyug5WkoDDFIW0p,https://i.scdn.co/image/ab67616d0000b27333cd2e093667b29a2f11d0f5,False,0.159,0.408,10,-9.499,0,0.0358,0.672,0.961,0.156,0.0405,97.934,audio_features,spotify:track:2GHmJzMiyug5WkoDDFIW0p,https://api.spotify.com/v1/tracks/2GHmJzMiyug5WkoDDFIW0p,https://api.spotify.com/v1/audio-analysis/2GHmJzMiyug5WkoDDFIW0p,64760,5,LNSA
22,6F2r4HgpJnvKDmkN6JEN6J,As I Am (feat. Khalid),65 (0-100),174406 ms,False,Justice,album,2021-03-19,"('Justin Bieber', 'Khalid')","['https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s', 'https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny']",1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",93 (0-100),https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,True,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928,audio_features,spotify:track:6F2r4HgpJnvKDmkN6JEN6J,https://api.spotify.com/v1/tracks/6F2r4HgpJnvKDmkN6JEN6J,https://api.spotify.com/v1/audio-analysis/6F2r4HgpJnvKDmkN6JEN6J,174406,4,HPSE
23,7dhXGtYEZrxzkIsB1kY0Ps,Born Again,51 (0-100),252957 ms,False,Reckless Love,album,2018-01-26,"('Cory Asbury',)",['https://open.spotify.com/artist/2gXmjQIxCO8lMnSncluZaU'],2gXmjQIxCO8lMnSncluZaU,"['ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",65 (0-100),https://open.spotify.com/track/7dhXGtYEZrxzkIsB1kY0Ps,https://i.scdn.co/image/ab67616d0000b2738faab61f157cc41d8b60bd25,True,0.446,0.0974,6,-14.472,1,0.0319,0.95,0.000149,0.0725,0.146,64.068,audio_features,spotify:track:7dhXGtYEZrxzkIsB1kY0Ps,https://api.spotify.com/v1/tracks/7dhXGtYEZrxzkIsB1kY0Ps,https://api.spotify.com/v1/audio-analysis/7dhXGtYEZrxzkIsB1kY0Ps,252958,4,LPSA
24,0XwhdGuRb3c1NFXP7xphsH,Open Skies (Wildflower),34 (0-100),222216 ms,False,Open Skies (Wildflower),single,2021-01-15,"('The National Parks',)",['https://open.spotify.com/artist/2JMtxA2S9SNUlqBlkDtXm6'],2JMtxA2S9SNUlqBlkDtXm6,"['folk-pop', 'indie folk', 'indiecoustica', 'pop rock', 'stomp and holler', 'utah indie']",55 (0-100),https://open.spotify.com/track/0XwhdGuRb3c1NFXP7xphsH,https://i.scdn.co/image/ab67616d0000b273d6edfa681846b902876ae7dc,True,0.606,0.295,7,-10.277,1,0.0293,0.238,9.23e-05,0.145,0.368,123.785,audio_features,spotify:track:0XwhdGuRb3c1NFXP7xphsH,https://api.spotify.com/v1/tracks/0XwhdGuRb3c1NFXP7xphsH,https://api.spotify.com/v1/audio-analysis/0XwhdGuRb3c1NFXP7xphsH,222217,4,LPFE
25,3qJrhAPsIAPZ0NcJ7erI6t,Canyons,54 (0-100),280797 ms,False,To Love a Fool,album,2020-07-31,"('Cory Asbury',)",['https://open.spotify.com/artist/2gXmjQIxCO8lMnSncluZaU'],2gXmjQIxCO8lMnSncluZaU,"['ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",65 (0-100),https://open.spotify.com/track/3qJrhAPsIAPZ0NcJ7erI6t,https://i.scdn.co/image/ab67616d0000b27376a6c53d91081b3032f0abd0,True,0.312,0.523,8,-8.137,1,0.0372,0.159,7.72e-05,0.0931,0.181,89.976,audio_features,spotify:track:3qJrhAPsIAPZ0NcJ7erI6t,https://api.spotify.com/v1/tracks/3qJrhAPsIAPZ0NcJ7erI6t,https://api.spotify.com/v1/audio-analysis/3qJrhAPsIAPZ0NcJ7erI6t,280797,4,HPSE
26,64ho5DYwhsWJqapwTd07y0,Just Like Heaven,53 (0-100),336573 ms,False,House Of Miracles,album,2020-08-28,"('Brandon Lake',)",['https://open.spotify.com/artist/1bdnGJxkbIIys5Jhk1T74v'],1bdnGJxkbIIys5Jhk1T74v,['ccm'],69 (0-100),https://open.spotify.com/track/64ho5DYwhsWJqapwTd07y0,https://i.scdn.co/image/ab67616d0000b2738794282921c5e78dc245ff90,True,0.499,0.458,5,-8.052,1,0.0339,0.597,1.78e-05,0.0596,0.214,131.778,audio_features,spotify:track:64ho5DYwhsWJqapwTd07y0,https://api.spotify.com/v1/tracks/64ho5DYwhsWJqapwTd07y0,https://api.spotify.com/v1/audio-analysis/64ho5DYwhsWJqapwTd07y0,336573,4,LPFA
27,4QssCpDcZgI1U83TVvj5K5,In the Shadow,39 (0-100),85636 ms,False,The Navigator,album,2019-11-22,"('Vian Izak', 'Hoyt Carter', 'I The Ai')","['https://open.spotify.com/artist/46U5WmejGzsPqUiw3Uw0Xq', 'https://open.spotify.com/artist/2gMHlKAvN5nferMyaIvY9r', 'https://open.spotify.com/artist/6VmRC70MH7DjZdbYGoNCCc']",46U5WmejGzsPqUiw3Uw0Xq,"['indiecoustica', 'pop rock']",55 (0-100),https://open.spotify.com/track/4QssCpDcZgI1U83TVvj5K5,https://i.scdn.co/image/ab67616d0000b273df57920858657a5355f47fb2,True,0.657,0.488,10,-13.447,1,0.0497,0.875,0.651,0.123,0.311,109.923,audio_features,spotify:track:4QssCpDcZgI1U83TVvj5K5,https://api.spotify.com/v1/tracks/4QssCpDcZgI1U83TVvj5K5,https://api.spotify.com/v1/audio-analysis/4QssCpDcZgI1U83TVvj5K5,85636,4,LPFA
28,1AnmIn4S9mB6D61i56ykMy,The Loop Song,34 (0-100),236492 ms,False,Peter Bence: The Awesome Piano,album,2020-05-01,"('Peter Bence',)",['https://open.spotify.com/artist/4fdxbJLSNRIMkMGbLs5QPF'],4fdxbJLSNRIMkMGbLs5QPF,"['classify', 'piano cover']",41 (0-100),https://open.spotify.com/track/1AnmIn4S9mB6D61i56ykMy,https://i.scdn.co/image/ab67616d0000b2730f1849649f3c9072cde967d6,True,0.704,0.488,6,-12.458,1,0.0342,0.874,0.942,0.0933,0.189,105.015,audio_features,spotify:track:1AnmIn4S9mB6D61i56ykMy,https://api.spotify.com/v1/tracks/1AnmIn4S9mB6D61i56ykMy,https://api.spotify.com/v1/audio-analysis/1AnmIn4S9mB6D61i56ykMy,236493,4,LPFA
29,6hK7ClrH7aMOZxu9a9ubdy,Dark,30 (0-100),223201 ms,False,Dark,single,2019-01-25,"('LAEL',)",['https://open.spotify.com/artist/6u0N8dav5uO0AdKr6l9EFp'],6u0N8dav5uO0AdKr6l9EFp,[],29 (0-100),https://open.spotify.com/track/6hK7ClrH7aMOZxu9a9ubdy,https://i.scdn.co/image/ab67616d0000b273983035d6c89343ca3cc872cc,True,0.369,0.627,7,-3.95,1,0.216,0.266,4.14e-05,0.18,0.415,161.341,audio_features,spotify:track:6hK7ClrH7aMOZxu9a9ubdy,https://api.spotify.com/v1/tracks/6hK7ClrH7aMOZxu9a9ubdy,https://api.spotify.com/v1/audio-analysis/6hK7ClrH7aMOZxu9a9ubdy,223202,4,HPFE
30,6zE34AOSW5hi3x17joOECg,Miracle In The Works,39 (0-100),307323 ms,False,Miracle In The Works,single,2021-05-21,"('Bryan & Katie Torwalt',)",['https://open.spotify.com/artist/7bvAtcPT3evvSeHDyu2zBC'],7bvAtcPT3evvSeHDyu2zBC,"['anthem worship', 'ccm', 'christian music', 'norsk lovsang', 'world worship', 'worship']",58 (0-100),https://open.spotify.com/track/6zE34AOSW5hi3x17joOECg,https://i.scdn.co/image/ab67616d0000b2735b88656ba12c2d4591d4d5a0,True,0.226,0.593,8,-6.33,1,0.0452,0.282,5.01e-05,0.0954,0.139,152.058,audio_features,spotify:track:6zE34AOSW5hi3x17joOECg,https://api.spotify.com/v1/tracks/6zE34AOSW5hi3x17joOECg,https://api.spotify.com/v1/audio-analysis/6zE34AOSW5hi3x17joOECg,307324,4,HPFE
31,1ckXxCiKGFaYmhe4BfBmfs,Rise Up (Lazarus),57 (0-100),206531 ms,False,Rise Up,album,2021-05-07,"('CAIN',)",['https://open.spotify.com/artist/2XDaX0gxzE4eCXjPPAREEq'],2XDaX0gxzE4eCXjPPAREEq,['ccm'],61 (0-100),https://open.spotify.com/track/1ckXxCiKGFaYmhe4BfBmfs,https://i.scdn.co/image/ab67616d0000b273f134124bb2686a53546eb577,False,0.492,0.809,5,-5.443,1,0.0399,0.0389,0.0,0.0854,0.441,86.997,audio_features,spotify:track:1ckXxCiKGFaYmhe4BfBmfs,https://api.spotify.com/v1/tracks/1ckXxCiKGFaYmhe4BfBmfs,https://api.spotify.com/v1/audio-analysis/1ckXxCiKGFaYmhe4BfBmfs,206532,4,HPSE
32,25x0SY1uAZsgP2ZzWrzsxV,Find Me,38 (0-100),257776 ms,False,Find Me,album,2020-09-25,"('Joseph Solomon',)",['https://open.spotify.com/artist/0hZEO1Bl2QRGUaeeSLWDYN'],0hZEO1Bl2QRGUaeeSLWDYN,[],42 (0-100),https://open.spotify.com/track/25x0SY1uAZsgP2ZzWrzsxV,https://i.scdn.co/image/ab67616d0000b273c21e24984b66c5eb52cddfbe,True,0.525,0.351,6,-12.177,1,0.0329,0.68,0.000636,0.0978,0.14,81.151,audio_features,spotify:track:25x0SY1uAZsgP2ZzWrzsxV,https://api.spotify.com/v1/tracks/25x0SY1uAZsgP2ZzWrzsxV,https://api.spotify.com/v1/audio-analysis/25x0SY1uAZsgP2ZzWrzsxV,257776,4,LPSA
